"SourcePath","IsShortcut","ShortcutTarget","Exists","SizeBytes","Hash","Instrument","IsBand","ProposedPath","DuplicateGroupId","IsInConsolidated","ProposedAction"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1014_alt.mp3","False",,"True","343472","3A180A5005946B0B5688349569B3D8E5638DF0BE","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1014_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1015.mp3","False",,"True","283304","BCE2F0C25F1BABA981CA783A2AF69897E849EE83","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1015.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1015_alt.mp3","False",,"True","320168","311F51953C9EAE57D2B206B544ED8039FC4C44CF","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1015_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1018.mp3","False",,"True","1052900","6DD75A7707FBB217B834FE069F658A576ED70AD6","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1018.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1018_alt.mp3","False",,"True","1484782","7C343F1F0127139785FB48A6FC7AD6817911CCAD","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1018_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1019.mp3","False",,"True","374218","317A0A9AB63A8B57D574818459BFADAA6A5AB0C7","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1019.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1019_alt.mp3","False",,"True","376606","538DC1E59D60F7BB3FDBDE955A38C1DB643EE39E","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1019_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1020.mp3","False",,"True","423879","1007AFA9736469815E4861EA7566AE1A57F30CD4","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1020.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1020_alt.mp3","False",,"True","347380","3F8BC9E9CF803910229C01A9E51AE1B93254EBD9","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1020_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1021.mp3","False",,"True","298621","6ABF62CDF1F74EFB4CB356D09F240C5394CAD299","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1021.mp3",,"True","Keep"
